State,Age,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2015
estimated 
population"
ALABAMA5,Under 18,"5,468",397,"1,634",17,45,140,195,380,"1,168",74,12,954,11,28,6,109,133,70,0,29,231,0,18,29,249,40,430,0,"1,100",0,0,232,"3,663,706"
ALABAMA5,Total all ages,"140,450","5,537","19,386",283,336,"1,088","3,830","3,008","15,558",727,93,"18,207","1,184","4,119",240,"1,948","1,489","1,374",0,457,"8,967",0,852,"7,863","1,739","7,107","2,187",145,"57,649",0,0,,
ALASKA,Under 18,"2,021",176,589,3,17,23,133,125,371,62,31,314,1,7,3,3,154,25,0,23,213,0,0,25,172,4,22,0,285,0,5,32,"734,820"
ALASKA,Total all ages,"31,402","2,193","3,453",47,118,294,"1,734",485,"2,540",361,67,"4,350",39,230,72,52,898,303,8,240,"1,212",0,181,"3,163","1,100",80,795,3,"13,025",0,5,,
ARIZONA,Under 18,"21,510",618,"4,691",8,45,117,448,499,"3,935",201,56,"3,042",7,55,13,88,"1,481",131,0,151,"2,835",2,251,186,"1,796",134,"1,652",81,"3,049",10,"1,237",98,"5,108,556"
ARIZONA,Total all ages,"226,367","7,161","30,609",134,230,"1,047","5,750","2,672","26,717","1,064",156,"20,492",706,"1,505",139,952,"7,934","1,929",220,"1,080","24,892",15,"3,317","22,367","10,079","12,521","16,750",244,"62,041",177,"1,237",,
ARKANSAS,Under 18,"8,163",409,"2,158",12,46,76,275,344,"1,739",49,26,"1,369",8,34,1,136,280,89,3,33,748,0,2,62,270,86,401,0,"1,774",0,300,258,"2,686,917"
ARKANSAS,Total all ages,"127,083","4,667","15,771",123,273,589,"3,682","1,977","13,357",364,73,"11,084",700,"1,145",54,"1,277","1,350",886,271,134,"12,700",1,223,"6,919","1,890","6,710","2,185",731,"58,085",0,300,,
CALIFORNIA,Under 18,"67,884","7,207","15,085",87,253,"2,585","4,282","5,537","7,799","1,504",245,"9,708",75,186,17,"1,197","3,556","3,490",144,"1,145","6,663",19,1,515,"1,627","1,104","1,914",124,"12,194",0,"1,913",689,"38,908,726"
CALIFORNIA,Total all ages,"1,158,479","107,454","127,671","1,431","2,465","15,841","87,717","44,146","65,037","17,303","1,185","81,413","4,860","6,499",972,"16,316","17,143","25,946","8,099","9,395","206,194",255,240,"141,458","12,186","78,534","4,674","7,504","299,745",8,"1,913",,
